Name of affiliated standard sample;Test mode;Light source/angle;L*;a*;b*;400nm;410nm;420nm;430nm;440nm;450nm;460nm;470nm;480nm;490nm;500nm;510nm;520nm;530nm;540nm;550nm;560nm;570nm;580nm;590nm;600nm;610nm;620nm;630nm;640nm;650nm;660nm;670nm;680nm;690nm;700nm
-;M0;D50/2°;31,04;20,99;6,74;4,33;5,2;5,43;5,31;4,99;4,86;4,99;5,19;5,44;5,68;5,81;5,58;5,04;4,44;4,07;3,99;4,17;4,75;6,11;8,3;10,48;12,31;13,62;14,42;14,98;15,72;16,46;17,26;18,03;18,79;19,56
-;M0;D50/2°;95,73;-6,14;21,75;41,18;47,51;51,18;53,96;57,02;60,05;62,61;65,08;68,21;72,58;78,29;84,97;91,35;95,52;96,01;93,42;90,14;87,63;87,03;88,78;90,28;90,71;91,18;91,31;91,01;91,13;90,96;91,11;91,17;91,35;91,61
-;M0;D50/2°;88,37;-11,51;-13,98;61,57;68,75;74,7;80,93;88,87;95,09;97,4;96,75;94,49;91,61;88,84;87,35;86,31;84,69;81,48;76,3;70,54;65,77;62,87;61,16;59,51;58,71;58,95;59,46;60,19;61,82;63,23;63,94;63,5;62,92;62,29
-;M0;D50/2°;19,44;3,34;-3,54;2,97;3,46;3,63;3,62;3,51;3,45;3,42;3,34;3,21;3,08;2,97;2,83;2,68;2,62;2,64;2,65;2,7;2,79;2,89;2,99;3,07;3,1;3,15;3,19;3,2;3,22;3,23;3,25;3,27;3,3;3,35
-;M0;D50/2°;94,22;-9,26;48,29;22,4;26,02;27,63;28,53;29,18;30,48;32,71;35,95;41,07;49,14;60,48;73,64;86,33;95,04;97,08;93,83;89,1;85,08;83,85;86,32;89,05;90,07;90,37;90,21;89,6;89,3;88,83;88,97;89,35;89,94;90,68
-;M0;D50/2°;78,88;33,89;-16,96;59,86;65,64;69,63;73,25;77,33;79,76;78,95;75,43;69,87;62,68;55,3;49,21;44,42;40,87;38,84;38,2;38,61;42,04;51,78;67,24;80,73;87,38;88,57;88,55;88,98;90,11;90,53;90,54;90,01;89,66;89,54
-;M0;D50/2°;29,53;-11,47;-24,61;7,05;9,51;10,76;11,62;12,69;13,77;14,53;15,18;15,64;15,67;15,04;13,48;11,08;8,39;6,17;4,61;3,62;3,13;3,05;3,11;3,12;3,26;3,64;3,83;3,79;3,79;3,84;3,93;4,01;4,07;4,1
-;M0;D50/2°;54,24;-24,57;43,02;4,23;4,05;3,96;3,92;3,72;3,81;4,36;5,29;7,16;10,82;16,54;23,23;29,13;32,23;31,63;28,13;23,55;19,45;17,18;16,86;17,27;17,52;17,36;17,18;17,09;17,24;17,54;17,95;18,3;18,66;19,01
-;M0;D50/2°;29,7;27,24;-2,86;6,89;8,26;8,47;8,2;7,63;7,13;6,77;6,33;5,81;5,31;4,84;4,3;3,75;3,44;3,41;3,5;3,67;4,12;5,34;7,47;9,79;11,96;13,56;14,66;15,71;17,16;18,73;20,33;21,8;23,21;24,59
-;M0;D50/2°;81,44;-32,15;57,76;11,01;11,08;11,02;11,13;10,9;11,3;12,73;15,19;20,06;29,41;44;61,39;77,3;85,86;83,71;73,87;61,9;51,39;45,84;45,78;47,54;48,4;47,96;47,41;47,08;47,33;47,9;48,78;49,59;50,41;51,21
-;M0;D50/2°;61,43;21,29;-37,18;49,82;56,19;59,83;63,14;67,02;69,07;67,59;63,34;57,03;49,18;41,31;34,8;29,8;26,36;24,23;22,61;21,21;21,36;24,68;30,38;35,17;37,32;37,03;36,75;37,53;39,31;40,88;41,6;41,27;40,84;40,42
-;M0;D50/2°;84,45;10,83;38,9;19,42;23,29;24,83;25,35;25,45;26,32;28,33;31,34;35,55;41,09;47,79;54,38;59,4;61,38;60,57;58,77;57,45;58,34;64,2;75,17;84,94;89,7;90,93;90,64;89,79;89,24;88,5;88,64;89,36;90,4;91,68
-;M0;D50/2°;31,96;-24,64;4,27;3,97;4,71;4,98;4,9;4,58;4,63;5,27;6,33;7,84;9,75;11,75;13,07;13,17;11,85;9,72;7,44;5,44;4;3,4;3,58;4,02;4,35;4,57;4,56;4,38;4,19;4,1;4,21;4,44;4,66;4,83
-;M0;D50/2°;80,07;-23,18;-27,62;57,79;65,47;71,75;78,63;87,63;94,72;97,33;96,62;94,13;90,98;87,83;85,49;82,47;77,34;69,84;60,58;51,17;43,57;39,14;36,74;34,9;34,07;34,12;34,43;35,11;36,76;38,49;39,42;39,11;38,55;37,85
-;M0;D50/2°;82,55;-26,56;-1,26;39,84;46,32;50,25;53,62;57,55;61,21;63,87;66,09;68,79;72,68;77,58;82,46;85,13;83,31;76,87;67,79;58,52;50,81;46,21;44,15;43,11;42,94;43,34;43,58;43,74;44,6;45,64;46,61;47,03;47,25;47,31
-;M0;D50/2°;68,03;0,58;-36,96;53,29;60,61;65,63;70,73;77,2;81,68;81,93;78,96;73,77;66,98;59,8;53,52;47,97;43,12;38,95;34,86;30,87;28,4;28,62;30,48;31,84;32,26;31,91;31,77;32,46;34,17;35,84;36,65;36,31;35,8;35,25
-;M0;D50/2°;49,72;-36,37;-39,79;17,41;24,32;28,89;33,37;39,56;45,34;48,97;51,61;53,44;53,98;52,58;48,59;41,49;32,03;22,72;14,92;8,9;5,03;3,85;4,27;4,47;4,68;5,42;5,55;5,17;5,02;5,19;5,51;5,7;5,83;5,89
-;M0;D50/2°;21,14;6,47;2,07;2,6;2,96;3,11;3,08;2,95;2,91;2,96;2,99;3,01;3,04;3,06;2,99;2,86;2,76;2,75;2,78;2,89;3,09;3,38;3,76;4,08;4,29;4,45;4,53;4,56;4,62;4,68;4,78;4,89;5,02;5,16
-;M0;D50/2°;51,31;-58,79;25,73;5,79;5,71;5,63;5,51;4,96;5,12;6,5;8,91;12,98;19,6;28,54;37,41;42,98;42,05;34,95;24,91;14,86;7;3,8;5,23;7,88;9,12;8,76;7,98;7,25;6,73;6,67;7,09;7,76;8,37;8,86
-;M0;D50/2°;44,14;51,11;-22,93;29,12;32,84;33,27;32,56;30,88;28,68;26,03;22,54;18,43;14,25;10,79;8,29;6,72;6,08;5,96;5,81;5,52;6,24;10,13;17,62;25,76;32,5;36,39;39,11;42,4;47,06;52;56,7;60,85;64,85;68,74
-;M0;D50/2°;61,96;-43,32;-29,93;28,94;36,23;40,7;44,83;50,13;55,09;58,41;61,01;63,42;65,66;67,11;66,57;62,24;53,32;42,03;30,84;21,02;13,8;10,48;9,98;10,06;10,22;10,53;10,4;10,04;10,12;10,63;11,23;11,54;11,68;11,62
-;M0;D50/2°;41,09;-44,79;-8,69;7,05;9,38;10,5;10,85;10,92;11,85;14,1;17,47;21,79;26,47;30,31;31,53;29,14;23,34;16,46;10,51;6,01;3,06;2,13;2,84;3,85;4,68;5,38;5,36;4,77;4,15;3,82;4,08;4,73;5,31;5,73
-;M0;D50/2°;72,4;36,58;24,97;18,53;22,48;23,83;24,01;23,66;23,94;25,1;26,9;29,13;31,4;33,44;34,34;33,45;30,67;27,79;26,66;27,45;31,56;42,57;60,45;76,79;86,17;89,77;90,74;90,65;90,49;89,76;89,76;90,33;91,26;92,48
-;M0;D50/2°;55,72;47,88;-31,16;46,08;50,73;52,45;53,28;53,57;52,51;49,37;44,3;37,77;30,38;23,66;18,61;15,21;13,17;12,09;11,55;11,34;13,12;19,68;30,96;41,71;48,24;50,11;51,1;53,01;55,96;58,61;60,56;61,69;62,74;63,82
